Country/Region,ObservationDate,SNo,Confirmed,date_sec
 Azerbaijan,02/28/2020,2664,1.0,1582848000
"('St. Martin',)",03/10/2020,4675,2.0,1583798400
Afghanistan,02/24/2020,2259,1.0,1582502400
Afghanistan,02/25/2020,2352,1.0,1582588800
Afghanistan,02/26/2020,2453,1.0,1582675200
Afghanistan,02/27/2020,2557,1.0,1582761600
Afghanistan,02/28/2020,2665,1.0,1582848000
Afghanistan,02/29/2020,2783,1.0,1582934400
Afghanistan,03/01/2020,2911,1.0,1583020800
Afghanistan,03/02/2020,3042,1.0,1583107200
Afghanistan,03/03/2020,3190,1.0,1583193600
Afghanistan,03/04/2020,3349,1.0,1583280000
Afghanistan,03/05/2020,3520,1.0,1583366400
Afghanistan,03/06/2020,3706,1.0,1583452800
Afghanistan,03/07/2020,3920,1.0,1583539200
Afghanistan,03/08/2020,4116,4.0,1583625600
Afghanistan,03/09/2020,4374,4.0,1583712000
Afghanistan,03/10/2020,4644,5.0,1583798400
Afghanistan,03/11/2020,4854,7.0,1583884800
Afghanistan,03/12/2020,5078,7.0,1583971200
Afghanistan,03/13/2020,5379,7.0,1584057600
Afghanistan,03/14/2020,5535,11.0,1584144000
Afghanistan,03/15/2020,5780,16.0,1584230400
Afghanistan,03/16/2020,6038,21.0,1584316800
Afghanistan,03/17/2020,6325,22.0,1584403200
Afghanistan,03/18/2020,6608,22.0,1584489600
Afghanistan,03/19/2020,6901,22.0,1584576000
Afghanistan,03/20/2020,7197,24.0,1584662400
Afghanistan,03/21/2020,7503,24.0,1584748800
Afghanistan,03/22/2020,7618,40.0,1584835200
Afghanistan,03/23/2020,7916,40.0,1584921600
Afghanistan,03/24/2020,8210,74.0,1585008000
Afghanistan,03/25/2020,8508,84.0,1585094400
Afghanistan,03/26/2020,8810,94.0,1585180800
Afghanistan,03/27/2020,9116,110.0,1585267200
Afghanistan,03/28/2020,9423,110.0,1585353600
Afghanistan,03/29/2020,9734,120.0,1585440000
Afghanistan,03/30/2020,10045,170.0,1585526400
Afghanistan,03/31/2020,10357,174.0,1585612800
Afghanistan,04/01/2020,10670,237.0,1585699200
Afghanistan,04/02/2020,10983,273.0,1585785600
Afghanistan,04/03/2020,11298,281.0,1585872000
Afghanistan,04/04/2020,11613,299.0,1585958400
Afghanistan,04/05/2020,11929,349.0,1586044800
Afghanistan,04/06/2020,12248,367.0,1586131200
Afghanistan,04/07/2020,12568,423.0,1586217600
Afghanistan,04/08/2020,12888,444.0,1586304000
Afghanistan,04/09/2020,13208,484.0,1586390400
Afghanistan,04/10/2020,13528,521.0,1586476800
Afghanistan,04/11/2020,13849,555.0,1586563200
Afghanistan,04/12/2020,14170,607.0,1586649600
Afghanistan,04/13/2020,14490,665.0,1586736000
Afghanistan,04/14/2020,14810,714.0,1586822400
Afghanistan,04/15/2020,15130,784.0,1586908800
Afghanistan,04/16/2020,15450,840.0,1586995200
Afghanistan,04/17/2020,15770,906.0,1587081600
Afghanistan,04/18/2020,16090,933.0,1587168000
Afghanistan,04/19/2020,16410,996.0,1587254400
