Country/Region,ObservationDate,SNo,Deaths,date_sec
 Azerbaijan,2/28/2020,2664,0,1582848000
"('St. Martin',)",3/10/2020,4675,0,1583798400
Afghanistan,2/24/2020,2259,0,1582502400
Afghanistan,2/25/2020,2352,0,1582588800
Afghanistan,2/26/2020,2453,0,1582675200
Afghanistan,2/27/2020,2557,0,1582761600
Afghanistan,2/28/2020,2665,0,1582848000
Afghanistan,2/29/2020,2783,0,1582934400
Afghanistan,3/1/2020,2911,0,1583020800
Afghanistan,3/10/2020,4644,0,1583798400
Afghanistan,3/11/2020,4854,0,1583884800
Afghanistan,3/12/2020,5078,0,1583971200
Afghanistan,3/13/2020,5379,0,1584057600
Afghanistan,3/14/2020,5535,0,1584144000
Afghanistan,3/15/2020,5780,0,1584230400
Afghanistan,3/16/2020,6038,0,1584316800
Afghanistan,3/17/2020,6325,0,1584403200
Afghanistan,3/18/2020,6608,0,1584489600
Afghanistan,3/19/2020,6901,0,1584576000
Afghanistan,3/2/2020,3042,0,1583107200
Afghanistan,3/20/2020,7197,0,1584662400
Afghanistan,3/21/2020,7503,0,1584748800
Afghanistan,3/22/2020,7618,1,1584835200
Afghanistan,3/23/2020,7916,1,1584921600
Afghanistan,3/24/2020,8210,1,1585008000
Afghanistan,3/25/2020,8508,2,1585094400
Afghanistan,3/26/2020,8810,4,1585180800
Afghanistan,3/27/2020,9116,4,1585267200
Afghanistan,3/28/2020,9423,4,1585353600
Afghanistan,3/29/2020,9734,4,1585440000
Afghanistan,3/3/2020,3190,0,1583193600
Afghanistan,3/30/2020,10045,4,1585526400
Afghanistan,3/31/2020,10357,4,1585612800
Afghanistan,3/4/2020,3349,0,1583280000
Afghanistan,3/5/2020,3520,0,1583366400
Afghanistan,3/6/2020,3706,0,1583452800
Afghanistan,3/7/2020,3920,0,1583539200
Afghanistan,3/8/2020,4116,0,1583625600
Afghanistan,3/9/2020,4374,0,1583712000
Afghanistan,4/1/2020,10670,4,1585699200
Afghanistan,4/10/2020,13528,15,1586476800
Afghanistan,4/11/2020,13849,18,1586563200
Afghanistan,4/12/2020,14170,18,1586649600
Afghanistan,4/13/2020,14490,21,1586736000
Afghanistan,4/14/2020,14810,23,1586822400
Afghanistan,4/15/2020,15130,25,1586908800
Afghanistan,4/16/2020,15450,30,1586995200
Afghanistan,4/17/2020,15770,30,1587081600
Afghanistan,4/18/2020,16090,30,1587168000
Afghanistan,4/19/2020,16410,33,1587254400
