date_sec,Confirmed,Deaths,Recovered
1584835200,40.0,1.0,1.0
1584921600,40.0,1.0,1.0
1585008000,74.0,1.0,1.0
1585094400,84.0,2.0,2.0
1585180800,94.0,4.0,2.0
1585267200,110.0,4.0,2.0
1585353600,110.0,4.0,2.0
1585440000,120.0,4.0,2.0
1585526400,170.0,4.0,2.0
1585612800,174.0,4.0,5.0
1585699200,237.0,4.0,5.0
1585785600,273.0,6.0,10.0
1585872000,281.0,6.0,10.0
1585958400,299.0,7.0,10.0
1586044800,349.0,7.0,15.0
1586131200,367.0,11.0,18.0
1586217600,423.0,14.0,18.0
1586304000,444.0,14.0,29.0
1586390400,484.0,15.0,32.0
1586476800,521.0,15.0,32.0
1586563200,555.0,18.0,32.0
1586649600,607.0,18.0,32.0
1586736000,665.0,21.0,32.0
1586822400,714.0,23.0,40.0
1586908800,784.0,25.0,43.0
1586995200,840.0,30.0,54.0
1587081600,906.0,30.0,99.0
1587168000,933.0,30.0,112.0
1587254400,996.0,33.0,131.0
1587340800,1026.0,36.0,135.0
1587427200,1092.0,36.0,150.0
1587513600,1176.0,40.0,166.0
1587600000,1279.0,42.0,179.0
1587686400,1351.0,43.0,188.0
1587772800,1463.0,47.0,188.0
1587859200,1531.0,50.0,207.0
1587945600,1703.0,57.0,220.0
1588032000,1828.0,58.0,228.0
1588118400,1939.0,60.0,252.0
1588204800,2171.0,64.0,260.0
1588291200,2335.0,68.0,310.0
1588377600,2469.0,72.0,331.0
1588464000,2704.0,85.0,345.0
1588550400,2894.0,90.0,397.0
1588636800,3224.0,95.0,421.0
1588723200,3392.0,104.0,458.0
1588809600,3563.0,106.0,468.0
1588896000,3778.0,109.0,472.0
1588982400,4033.0,115.0,502.0
1589068800,4402.0,120.0,558.0
1589155200,4687.0,122.0,558.0
1589241600,4963.0,127.0,610.0
1589328000,5226.0,132.0,648.0
1589414400,5639.0,136.0,691.0
1589500800,6053.0,153.0,745.0
1589587200,6402.0,168.0,745.0
1589673600,6664.0,169.0,778.0
1589760000,7072.0,173.0,801.0
1583884800,12.0,1.0,0.0
1583971200,23.0,1.0,0.0
1584057600,33.0,1.0,0.0
1584144000,38.0,1.0,0.0
1584230400,42.0,1.0,0.0
1584316800,51.0,1.0,0.0
1584403200,55.0,1.0,0.0
1584489600,59.0,2.0,0.0
1584576000,64.0,2.0,0.0
1584662400,70.0,2.0,0.0
1584748800,76.0,2.0,2.0
