ObservationDate,SNo,Confirmed,Deaths,Recovered,log_Confirmed,log_Deaths,log_Recovered,date_sec
03/22/2020,7618,40.0,1.0,1.0,1.6020599913279623,0.0,0.0,1584835200
03/23/2020,7916,40.0,1.0,1.0,1.6020599913279623,0.0,0.0,1584921600
03/24/2020,8210,74.0,1.0,1.0,1.8692317197309762,0.0,0.0,1585008000
03/25/2020,8508,84.0,2.0,2.0,1.9242792860618816,0.3010299956639812,0.3010299956639812,1585094400
03/26/2020,8810,94.0,4.0,2.0,1.9731278535996986,0.6020599913279624,0.3010299956639812,1585180800
03/27/2020,9116,110.0,4.0,2.0,2.041392685158225,0.6020599913279624,0.3010299956639812,1585267200
03/28/2020,9423,110.0,4.0,2.0,2.041392685158225,0.6020599913279624,0.3010299956639812,1585353600
03/29/2020,9734,120.0,4.0,2.0,2.0791812460476247,0.6020599913279624,0.3010299956639812,1585440000
03/30/2020,10045,170.0,4.0,2.0,2.230448921378274,0.6020599913279624,0.3010299956639812,1585526400
03/31/2020,10357,174.0,4.0,5.0,2.2405492482826,0.6020599913279624,0.6989700043360189,1585612800
04/01/2020,10670,237.0,4.0,5.0,2.374748346010104,0.6020599913279624,0.6989700043360189,1585699200
04/02/2020,10983,273.0,6.0,10.0,2.436162647040756,0.7781512503836436,1.0,1585785600
04/03/2020,11298,281.0,6.0,10.0,2.44870631990508,0.7781512503836436,1.0,1585872000
04/04/2020,11613,299.0,7.0,10.0,2.4756711883244296,0.8450980400142568,1.0,1585958400
04/05/2020,11929,349.0,7.0,15.0,2.5428254269591797,0.8450980400142568,1.1760912590556813,1586044800
04/06/2020,12248,367.0,11.0,18.0,2.5646660642520893,1.0413926851582251,1.255272505103306,1586131200
04/07/2020,12568,423.0,14.0,18.0,2.6263403673750423,1.146128035678238,1.255272505103306,1586217600
04/08/2020,12888,444.0,14.0,29.0,2.6473829701146196,1.146128035678238,1.462397997898956,1586304000
04/09/2020,13208,484.0,15.0,32.0,2.6848453616444123,1.1760912590556813,1.505149978319906,1586390400
04/10/2020,13528,521.0,15.0,32.0,2.7168377232995247,1.1760912590556813,1.505149978319906,1586476800
04/11/2020,13849,555.0,18.0,32.0,2.7442929831226763,1.255272505103306,1.505149978319906,1586563200
04/12/2020,14170,607.0,18.0,32.0,2.7831886910752575,1.255272505103306,1.505149978319906,1586649600
04/13/2020,14490,665.0,21.0,32.0,2.8228216453031045,1.3222192947339193,1.505149978319906,1586736000
04/14/2020,14810,714.0,23.0,40.0,2.8536982117761744,1.3617278360175928,1.6020599913279623,1586822400
04/15/2020,15130,784.0,25.0,43.0,2.8943160626844384,1.3979400086720377,1.6334684555795864,1586908800
04/16/2020,15450,840.0,30.0,54.0,2.9242792860618816,1.4771212547196624,1.7323937598229686,1586995200
04/17/2020,15770,906.0,30.0,99.0,2.957128197676813,1.4771212547196624,1.99563519459755,1587081600
